Date,pH_l,Cond_l,Alk,Thard,Turb,Color,DRP,TP,NH4,NO3NO2,Inorg_N,TKN,TN,TN_TP,Cl,SO4,Na,K
11/14/2003,8,259,130,137,1.4,7,12,12,0.16,0.01,0.17,0.62,0.63,52,1,7.5,2.2,0.8
4/17/2004,8.27,238,126,130,0.5,3,3,2,0.01,0.05,0.06,0.54,0.59,236,1,6.8,1.7,0.7
11/7/2004,,218,,,,,4,<6,0.13,<0.02,0.14,0.47,0.48,160,1.5,,,
4/28/2005,8.39,254,132,140,1.5,7,5,10,0.02,0.08,0.1,0.49,0.57,57,4,7,1.9,0.7
11/12/2005,8.06,251,140,139,1.3,7,4,15,0.08,0.01,0.09,0.53,0.54,36,1.5,7.9,2.1,0.7
4/14/2006,7.74,269,140,138,2.6,2.5,6,17,0.04,0.23,0.27,0.5,0.73,43,2.5,6.5,2.1,0.8
4/2/2007,8.16,262,140,142,2.1,2.5,6,15,0.2,0.04,0.24,0.73,0.77,51,1.8,7,2.1,0.8
5/3/2009,,244,,,,,5,7,0.1,0.13,0.23,0.74,0.87,124,2.2,,,
4/14/2010,,233,,,,,3,7,0.09,0.08,0.17,0.51,0.59,84,1.9,,,
4/25/2011,8.16,245,152,138,1.6,13.5,6,12,0.19,0.15,0.34,0.67,0.82,68,1.6,6.3,2,0.7
4/6/2012,,240,,,,,13,<6,0.07,0.09,0.16,0.48,0.57,190,1.6,,,
5/21/2013,,238,,,,,3,15,0.02,0.07,0.09,0.52,0.59,39,1.6,,,
5/26/2014,,247,,,,,3,23,0.02,0.12,0.14,0.44,0.56,24,2.1,,,
4/19/2015,,263,,,,,<2,20,0.12,0.11,0.23,0.72,0.83,42,1.8,,,
4/17/2016,,265,,,,,6,26,0.21,0.07,0.28,0.61,0.68,26,2.0,,,
5/5/2018,8.24,228,138,,1.0,<5,<2,16,0.18,0.12,,0.86,,,2.7,5.8,2,0.7
